lemma_syntag	F
double_Adj	2
doublentin_Adj	1
doublier_Adj	1
doucereux_Adj	1
douceur_N	28
douge_Adj	3
douleur_N	105
douloir_N	1
douloureux_Adj	20
doutance_N	8
doute_N	21
doutence_N	2
douteux_Adj	1
douve_N	1
Douvres_N	1
doux_Adj	204
douzaine_N	1
douze_Adj	1
douzième_Adj	1
dragon_N	3
drap_N	41
draperie_N	2
droit_Adj	16
droit_N	83
droit2_Adj	94
droiture_N	18
droiturel_Adj	1
droiturier_Adj	9
dromadaire_N	1
dromon_N	1
Droon_N	3
dru_Adj	2
dru_N	6
dru2_Adj	2
druerie_N	4
duc_N	76
ducheé_N	1
duchesse_N	7
duière_N	1
Duisans_N	1
duit_Adj	1
duit_N	2
dur_Adj	44
durable_Adj	1
Durandal_N	1
Durant_N	1
durée_N	3
dureté_N	2
durfeu_Adj	1
duvet_N	1
Duvlin_N	1
eau_N	46
ébat_N	1
ébattement_N	1
ébaudisement_N	1
ébriété_N	1
écaille_N	1
écarlate_N	3
écart_N	1
écharpe_N	4
échec_N	7
échevin_N	2
échiquier_N	2
écho_N	1
échoite_N	1
éclair_N	2
éclopeux_Adj	1
école_N	17
écolier_N	5
écorce_N	1
écossais_Adj	1
Écosse_N	7
écot3_Adj	1
écout_N	1
écrin_N	1
écrit_N	9
écriture_N	12
écrivain_N	1
écu_N	54
écuelle_N	2
écume_N	1
écureuil_N	1
écuyer_N	17
édifice_N	2
édit_N	1
Edmond_N	6
effet_N	5
efficace_N	1
effort_N	5
effroi_N	4
égal_Adj	5
égard_Adj	1
égard_N	1
église_N	29
Égypte_N	3
Éla_N	1
élection_N	5
élément_N	4
Élisabeth_N	1
Élisée_N	2
élit_Adj	1
éliture_N	1
éloquence_N	2
embronc_Adj	2
embûcher_N	1
Émenidus_N	6
émeraude_N	1
Emmaüs_N	1
Emmeline_N	1
émoi_N	4
