lemma	F	
rehaiter	2	
rejoindre	1	
réjouir	11	
relenquir	2	
relever	9	
relier	1	
reluire	8	
remaindre	3	
remander	1	
remanoir	56	
rembattre	1	
rembler	1	
remédier	1	
remembrer	15	
remener	1	
remercier	3	
remesurer	1	
remettre	14	
remirer	5	
remonter	3	
remontrer	3	
remouler	1	
remouvoir	1	
rempler	1	
remplir	3	
remuer	9	
remuier	1	
renaturer	1	
renchoir	1	
rencontrer	3	
rendormir	1	
rendre	118	
rengorger	1	
rengramier	1	
renié	1	
renier	9	
renoer	1	
renommer	7	
renoncer	5	
renouveler	4	
rénover	1	
renter	1	
renvoyer	5	
repairer	4	
répairer	31	
repaître	4	
répandre	1	
repartuer	1	
repentir	24	
répiter	2	
reployer	2	
repondre	3	
répondre	128	
reporter	6	
reposer	22	
repouvoir	1	
reprendre	25	
représenter	8	
reprier	1	
reprocher	2	
réprouver	11	
répugner	1	
réputer	3	
requérir	73	
rere	1	
resacher	1	
resaillir	1	
resavoir	3	
rescondre	1	
rescourre	7	
resembler	27	
résigner	1	
résonner	2	
resortir	1	
resouvenir	1	
respasser	1	
respirer	1	
resplandir	1	
resplendir	5	
resproër	1	
ressembler	2	
ressentir	1	
resserrer	1	
ressoigner	8	
ressortir	1	
ressouager	1	
ressourdre	3	
ressouvenir	1	
ressusciter	10	
restaurer	3	
resteindre	1	
rester	4	
restreindre	1	
résumer	1	
retailler	1	
retarder	4	
retenir	59	
reter	2	
retirer	4	
retolir	1	
retourner	39	
retraire	42	
retraiter	1	
retramettre	1	
retrancher	2	
rêtre	13	
rétribuer	1	
retrouver	4	
revaloir	2	
revancher	1	
réveiller	9	
révéler	2	
revendre	1	
revenir	73	
rêver	1	
reverdir	1	
revertir	2	
revêtir	1	
revisder	1	
revivre	3	
revoir	4	
révoquer	2	
revouloir	2	
ribler	1	
rigoler	1	
rimer	7	
rimoyer	1	
rire	39	
river	1	
rober	1	
rogner	1	
rompre	22	
ronger	2	
rôtir	3	
rouer	2	
rougir	3	
rouler	1	
router	3	
rover	14	
ruer	3	
ruser	3	
sacher	11	
sacquer	1	
safrer	1	
saigner	5	
saillir	31	
saintoyer	1	
saisir	22	
saluer	33	
sanctifier	3	
saner	7	
sang	1	
sasier	1	
sauteler	1	
sauter	2	
sauver	38	
savoir	718	
savourer	1	
scier	1	
sécher	3	
secourir	22	
séduire	1	
seigneurer	1	
seigneurir	1	
séjourner	20	
seller	1	
sembler	91	
sémeiller	1	
semer	2	
semondre	7	
sené	4	
sentir	53	
seoir	86	
séparer	1	
sermonner	5	
serrer	6	
servir	212	
sevrer	3	
siffler	1	
signer	5	
signet	1	
signifier	9	
situer	2	
sofaschier	1	
soigner	4	
solacier	2	
sommeiller	4	
songer	9	
sonner	29	
sortir	2	
souci	1	
soucier	1	
soudre	3	
souduire	4	
souffler	3	
souffrir	102	
souhaiter	4	
souiller	2	
soulager	1	
soûler	1	
soulever	1	
souloir	46	
soumettre	11	
souper	11	
souper2	1	
soupeser	1	
soupirer	22	
sourdre	8	
sourire	2	
sous-hausser	2	
sousplanter	1	
sousprendre	6	
soutenir	22	
soutiver	1	
soutraire	1	
souvenir	44	
souviner	1	
subgire	1	
succéder	3	
suer	3	
suffire	13	
suivre	28	
sum	1	
suppléer	1	
supplier	11	
supporter	4	
supposer	1	
surcuider	2	
surdire	1	
sûrer	1	
surmonter	6	
surnoer	1	
surporter	1	
surprendre	8	
surquérir	1	
surrexir	1	
survaincre	1	
survenir	7	
susciter	2	
suspendo	1	
sustenir	1	
sustenter	1	
tacher	1	
tailler	10	
taire	45	
tancer	12	
tapir	1	
tarder	12	
targer	3	
tarier	1	
tarir	1	
tâter	4	
tâtonner	1	
taxer	1	
teindre	14	
temer	1	
témoigner	5	
temprer	3	
tendre	26	
tendre2	9	
tenir	448	
tenser	3	
tenter	13	
tentir	1	
terdre	1	
terminer	3	
texir	1	
tinter	1	
tirer	33	
toiler	1	
tolir	45	
tomber	1	
tondre	2	
tonner	3	
torcher	1	
tordre	6	
toster	2	
toucher	23	
touiller	1	
tourmenter	10	
tourner	97	
tournoyer	4	
tracer	1	
trahir	34	
traîner	2	
traire	94	
traiter	4	
tramettre	12	
trancher	31	
transférer	1	
transir	1	
translater	3	
transmettre	3	
transporter	1	
travailler	45	
traverser	4	
trébucher	15	
