wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,verstype,subtype,syllabified,ref
213,37,3,beautés,beautés,137,N,N,,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 37"
214,37,4,m',m',137,Prn,Prn$$,me,7s,---,C/\,"ConBeth, chanson 1, v. 37"
215,37,5,est,est,137,Vfin,Vfin,être,7s,---,/V\,"ConBeth, chanson 1, v. 37"
216,37,6,garans,garans,137,N,N,,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 37"
217,37,7,",",",",137,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 37"
218,38,1,de,de,138,Pre,Pre,de,7s,---,C/(e)\,"ConBeth, chanson 1, v. 38"
219,38,2,ma,ma,138,Det,Det,mon,7s,---,C/V\,"ConBeth, chanson 1, v. 38"
220,38,3,dame,dame,138,N,N,,7s,---,'C/V\.C/(e)\,"ConBeth, chanson 1, v. 38"
221,38,4,",",",",138,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 38"
222,38,5,et,et,138,Crd,Crd,et,7s,---,/V\,"ConBeth, chanson 1, v. 38"
223,38,6,la,la,138,Det,Det,le,7s,---,C/V\,"ConBeth, chanson 1, v. 38"
224,38,7,samblance,samblance,138,N,N,,7s,---,C/V\.'C/V\.C/(e)\,"ConBeth, chanson 1, v. 38"
225,39,1,ki,ki,139,Qux,Qux,qui,7s,---,C/V\,"ConBeth, chanson 1, v. 39"
226,39,2,tos,tos,139,QIs,QIs,tout,7s,---,C/V\,"ConBeth, chanson 1, v. 39"
227,39,3,mes,mes,139,Det,Det,mon,7s,---,C/V\,"ConBeth, chanson 1, v. 39"
228,39,4,maus,maus,139,N,N,mal,7s,---,C/V\,"ConBeth, chanson 1, v. 39"
229,39,5,fait,fait,139,Vfin,Vfin,faire,7s,---,C/V\,"ConBeth, chanson 1, v. 39"
230,39,6,plaisans,plaisans,139,Vprs,Vprs,plaire,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 39"
231,39,7,",",",",139,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 39"
232,40,1,si,si,140,Adv,Adv,si4,7s,---,C/V\,"ConBeth, chanson 1, v. 40"
233,40,2,ke,ke,140,Sub,Sub,que,7s,---,C/(e)\,"ConBeth, chanson 1, v. 40"
234,40,3,je,je,140,Prn,Prn$,je,7s,---,C/(e)\,"ConBeth, chanson 1, v. 40"
235,40,4,muir,muir,140,Vfin,Vfin,mourir,7s,---,C/V\,"ConBeth, chanson 1, v. 40"
236,40,5,tous,tous,140,QIs,QIs,tout,7s,---,C/V\,"ConBeth, chanson 1, v. 40"
237,40,6,joians,joians,140,Vprs,Vprs,jouir,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 40"
238,40,7,;,;,140,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 40"
239,41,1,ke,ke,141,Crd,Crd,que,7s,---,C/(e)\,"ConBeth, chanson 1, v. 41"
240,41,2,tant,tant,141,QIs,QIs,tant,7s,---,C/V\,"ConBeth, chanson 1, v. 41"
241,41,3,desir,desir,141,Vfin,Vfin,désirer,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 41"
242,41,4,sa,sa,141,Det,Det,son4,7s,---,C/V\,"ConBeth, chanson 1, v. 41"
243,41,5,merite,merite,141,N,N,,7s,---,C/V\.'C/V\.C/(e)\,"ConBeth, chanson 1, v. 41"
244,42,1,ke,ke,142,Sub,Sub,que,7s,---,C/(e)\,"ConBeth, chanson 1, v. 42"
245,42,2,ceste,ceste,142,Dem,Dem,cist,7s,---,'C/V\.C/(e)\,"ConBeth, chanson 1, v. 42"
