wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref
206,35,1,et,et,2635,Crd,Crd,et,7s,---,/V\,"AdHaleChans, chanson 26, v. 35"
207,35,2,que,que,2635,Sub,Sub,que,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 35"
208,35,3,tout,tout,2635,QIs,QIs,tout,7s,---,C/V\,"AdHaleChans, chanson 26, v. 35"
209,35,4,perc,perc,2635,Vfin,Vfin,perdre,7s,---,C/V\,"AdHaleChans, chanson 26, v. 35"
210,35,5,mon,mon,2635,Det,Det,mon,7s,---,C/V\,"AdHaleChans, chanson 26, v. 35"
211,35,6,sarmon,sarmon,2635,N,N,sermon,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 35"
212,35,7,:,:,2635,Pnc,Pnc,:,7s,---,,"AdHaleChans, chanson 26, v. 35"
213,36,1,bien,bien,2636,Adv,Adv,bien,7s,---,C/V\,"AdHaleChans, chanson 26, v. 36"
214,36,2,samlés,samlés,2636,Vfin,Vfin,sembler,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 36"
215,36,3,estre,estre,2636,Vinf,Vinf,être,7s,---,'/V\.C/(e)\,"AdHaleChans, chanson 26, v. 36"
216,36,4,devine,devine,2636,Adj,Adj,divin,7s,---,C/V\.'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 36"
217,36,5,.,.,2636,Pnc,Pnc,.,7s,---,,"AdHaleChans, chanson 26, v. 36"
218,37,1,vous,vous,2637,Prn,Prn$,vous,7s,---,C/V\,"AdHaleChans, chanson 26, v. 37"
219,37,2,faites,faites,2637,Vfin,Vfin,faire,7s,---,'C/V\.C/e\,"AdHaleChans, chanson 26, v. 37"
220,37,3,capel,capel,2637,N,N,chapeau,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 37"
221,37,4,d',d',2637,Pre,Pre,de,7s,---,C/\,"AdHaleChans, chanson 26, v. 37"
222,37,5,espine,espine,2637,N,N,épine,7s,---,/V\.'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 37"
223,37,6,",",",",2637,Pnc,Pnc,",",7s,---,,"AdHaleChans, chanson 26, v. 37"
224,38,1,s',s',2638,Adv,Adv,si,7s,---,C/\,"AdHaleChans, chanson 26, v. 38"
225,38,2,ostés,ostés,2638,Vfin,Vfin,ôter,7s,---,/V\.'C/V\,"AdHaleChans, chanson 26, v. 38"
226,38,3,le,le,2638,Det,Det,le,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 38"
227,38,4,vermail,vermail,2638,Adj,Adj,vermeil,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 38"
228,38,5,bouton,bouton,2638,N,N,bouton,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 38"
229,39,1,ki,ki,2639,Qux,Qux,qui,7s,---,C/V\,"AdHaleChans, chanson 26, v. 39"
