wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,syllabified,lemma
405,59,3,salue,salue,59,Vfin,Vfin,C/V\.'C/V\./(e)\,saluer
406,59,4,et,et,59,Crd,Crd,/V\,et
407,59,5,si,si,59,Adv,Adv,C/V\,si
408,59,6,li,li,59,Prn,Prn$$,C/V\,li
409,59,7,dit,dit,59,Vfin,Vfin,C/V\,dire
410,59,8,:,:,59,Pnc,Pnc,,:
411,60,1,"""","""",60,Pnc,Pnc,,""""
412,60,2,beau,beau,60,Adj,Adj,C/V\,beau
413,60,3,sire,sire,60,N,N,'C/V\.C/(e)\,sire
414,60,4,",",",",60,Pnc,Pnc,,","
415,60,5,se,se,60,Sub,Sub,C/(e)\,si
416,60,6,deus,deus,60,N,N,C/V\,dieu
417,60,7,vos,vos,60,Prn,Prn$$,C/V\,vous
418,60,8,aït,aït,60,Vfin,Vfin,/V\.'C/V\,aider
419,60,9,",",",",60,Pnc,Pnc,,","
420,61,1,hebergiez,hebergiez,61,Vfin,Vfin,C/V\.C/V\.'C/V\,héberger
421,61,2,moi,moi,61,Prn,Prn%%,C/V\,moi
422,61,3,par,par,61,Pre,Pre,C/V\,par
423,61,4,charité,charité,61,N,N,C/V\.C/V\.'C/V\,charité
424,61,5,",",",",61,Pnc,Pnc,,","
425,62,1,si,si,62,Adv,Adv,C/V\,si
426,62,2,ferez,ferez,62,Vfin,Vfin,C/V\.'C/V\,faire
427,62,3,aumosne,aumosne,62,N,N,/V\.'C/V\.C/(e)\,aumône
428,62,4,et,et,62,Crd,Crd,/V\,et
429,62,5,bonté,bonté,62,N,N,C/V\.'C/V\,bonté
430,62,6,!,!,62,Pnc,Pnc,,!
431,63,1,-,-,63,Pnc,Pnc,,-
432,63,2,preudom,preudom,63,N,N,C/V\.'C/V\,prudhomme
433,63,3,",",",",63,Pnc,Pnc,,","
434,63,4,dist,dist,63,Vfin,Vfin,C/V\,dire
435,63,5,il,il,63,Prn,Prn%,/V\,il
436,63,6,",",",",63,Pnc,Pnc,,","
437,63,7,dieus,dieus,63,N,N,C/V\,dieu
