wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,syllabified,lemma,ref
269,35,2,dame,dame,35,N,N,'C/V\.C/(e)\,dame,"ChrPisTroisJug, v. 35"
270,35,3,si,si,35,Adv,Adv,C/V\,si,"ChrPisTroisJug, v. 35"
271,35,4,belle,belle,35,Adj,Adj,'C/V\.C/(e)\,beau,"ChrPisTroisJug, v. 35"
272,35,5,qu',qu',35,Sub,Sub,C/\,que,"ChrPisTroisJug, v. 35"
273,35,6,a,a,35,Pre,Pre,/V\,à,"ChrPisTroisJug, v. 35"
274,35,7,redire,redire,35,Vinf,Vinf,C/V\.'C/V\.C/(e)\,redire,"ChrPisTroisJug, v. 35"
275,36,1,ne,ne,36,Neg,Neg$$,C/(e)\,ne,"ChrPisTroisJug, v. 36"
276,36,2,scet,scet,36,Vfin,Vfin,C/V\,savoir,"ChrPisTroisJug, v. 36"
277,36,3,nul,nul,36,QIs,QIs,C/V\,nul,"ChrPisTroisJug, v. 36"
278,36,4,ame,ame,36,N,N,'/V\.C/(e)\,âme,"ChrPisTroisJug, v. 36"
279,36,5,:,:,36,Pnc,Pnc,,:,"ChrPisTroisJug, v. 36"
