wd_id,line_id,linewd,word,lex_id,syntag,syntag2,lemma,syllabified,ref
192,31,3,attendons,attendons,Vfin,Vfin,attendre,/V\.C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 31"
193,31,4,.,.,Pnc,Pnc,.,,"MirNDPers, Miracle de la nonne, v. 31"
194,32,1,c',c',Prn,Prn,ce,C/\,"MirNDPers, Miracle de la nonne, v. 32"
195,32,2,est,est,Vfin,Vfin,être,/V\,"MirNDPers, Miracle de la nonne, v. 32"
196,32,3,bien,bien,Adv,Adv,bien,C/V\,"MirNDPers, Miracle de la nonne, v. 32"
197,32,4,dit,dit,Vpp,Vpp,dire,C/V\,"MirNDPers, Miracle de la nonne, v. 32"
198,32,5,;,;,Pnc,Pnc,;,,"MirNDPers, Miracle de la nonne, v. 32"
199,32,6,a,a,Pre,Pre,à,/V\,"MirNDPers, Miracle de la nonne, v. 32"
200,32,7,prier,prier,Vinf,Vinf,prier,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 32"
201,32,8,tendons,tendons,Vfin,Vfin,tendre,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 32"
202,33,1,devotement,devotement,Adv,Adv,dévotement,C/V\.C/V\.C/e\.'C/V\,"MirNDPers, Miracle de la nonne, v. 33"
203,33,2,.,.,Pnc,Pnc,.,,"MirNDPers, Miracle de la nonne, v. 33"
204,34,1,perrotin,perrotin,N,N,Perrotin,C/V\.C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 34"
205,34,2,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 34"
206,34,3,vas,vas,Vfin,Vfin,aller,C/V\,"MirNDPers, Miracle de la nonne, v. 34"
207,34,4,sus,sus,PrA,PrA,sus,C/V\,"MirNDPers, Miracle de la nonne, v. 34"
208,34,5,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 34"
209,34,6,alons,alons,Vfin,Vfin,aller,/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 34"
210,34,7,ment,ment,Adv,Adv,men,C/V\,"MirNDPers, Miracle de la nonne, v. 34"
211,34,8,:,:,Pnc,Pnc,:,,"MirNDPers, Miracle de la nonne, v. 34"
212,35,1,vers,vers,Pre,Pre,vers2,C/V\,"MirNDPers, Miracle de la nonne, v. 35"
213,35,2,l',l',Det,Det,le,C/\,"MirNDPers, Miracle de la nonne, v. 35"
214,35,3,abbaie,abbaie,N,N,abbaye,/V\.C/V\.'C/V\./(e)\,"MirNDPers, Miracle de la nonne, v. 35"
215,35,4,me,me,Prn,Prn$$,me,C/(e)\,"MirNDPers, Miracle de la nonne, v. 35"
216,35,5,fault,fault,Vfin,Vfin,falloir,C/V\,"MirNDPers, Miracle de la nonne, v. 35"
