wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,tei_notes
2490,385,4,ja,ja,ADV,550,Adv,Adv,jà,C/V\,
2491,385,5,por,por,PRE,550,Pre,Pre,pour,C/V\,
2492,385,6,ton,ton,DET:poss:obj:masc:sg,550,Det,Det,ton2,C/V\,
2493,385,7,fil,fil,NOM:obj:masc:sg,550,N,N,fils,C/V\,
2494,386,1,roine,roine,NOM:suj:femi:sg,551,N,N,reine,C/V\.'C/V\.C/(e)\,
2495,386,2,bele,bele,ADJ:suj:femi:sg,551,Adj,Adj,beau,'C/V\.C/(e)\,
2496,386,3,!,!,PON,551,Pnc,Pnc,!,,
2497,387,1,je,je,PRO:pers:suj:1:sg:unb,552,Prn,Prn$,je,C/(e)\,speaker=Nostre Dame parole
2498,387,2,n,n,PRO:clit,552,Neg,Neg$$,ne,C/\,
2499,387,3,ai,ai,VER:pres:1:sg,552,Vfin,Vfin,avoir,/V\,
2500,387,4,cure,cure,NOM:obj:femi:sg,552,N,N,cure,'C/V\.C/(e)\,
2501,387,5,de,de,PRE,552,Pre,Pre,de,C/(e)\,
2502,387,6,ta,ta,DET:poss:obj:femi:sg,552,Det,Det,ton2,C/V\,
2503,387,7,favele,favele,NOM:obj:femi:sg,552,N,N,favelle,C/V\.'C/V\.C/(e)\,
2504,387,8,.,.,PON,552,Pnc,Pnc,.,,
2505,388,1,va,va,VER:impe:2:sg,553,Vfin,Vfin,aller,C/V\,
2506,388,2,t,t,PRO:pers:obj:2:sg:unb,553,Prn,Prn%%,te,C/\,
2507,388,3,en,en,PRO:clit,553,Prn,Prn,en2,/V\,
2508,388,4,is,is,VER:impe:2:sg,553,Vfin,Vfin,issir,/V\,
2509,388,5,fors,fors,ADV,553,PrA,PrA,hors,C/V\,
2510,388,6,de,de,PRE,553,Pre,Pre,de,C/(e)\,
2511,388,7,ma,ma,DET:poss:obj:femi:sg,553,Det,Det,mon,C/V\,
2512,388,8,chapele,chapele,NOM:obj:femi:sg,553,N,N,chapelle,C/V\.'C/V\.C/(e)\,
2513,388,9,.,.,PON,553,Pnc,Pnc,.,,
2514,389,1,dame,dame,NOM:suj:femi:sg,554,N,N,dame,'C/V\.C/(e)\,speaker=Theophiles parole
2515,389,2,je,je,PRO:pers:suj:1:sg:unb,554,Prn,Prn$,je,C/(e)\,
2516,389,3,n,n,PRO:clit,554,Neg,Neg$$,ne,C/\,
2517,389,4,ose,ose,VER:pres:1:sg,554,Vfin,Vfin,oser,'/V\.C/(e)\,
2518,389,5,.,.,PON,554,Pnc,Pnc,.,,
2519,390,1,flors,flors,NOM:suj:femi:sg,555,N,N,fleur,C/V\,
2520,390,2,d',d',PRE,555,Pre,Pre,de,C/\,
2521,390,3,aiglentier,aiglentier,NOM:obj:masc:sg,555,N,N,églantier,/V\.C/V\.'C/V\,
2522,390,4,et,et,CON:coord,555,Crd,Crd,et,/V\,
2523,390,5,lis,lis,NOM:suj:masc:sg,555,N,N,lis,C/V\,
2524,390,6,et,et,CON:coord,555,Crd,Crd,et,/V\,
2525,390,7,rose,rose,NOM:suj:femi:sg,555,N,N,rose,'C/V\.C/(e)\,
2526,391,1,en,en,PRE,556,Pre,Pre,en,/V\,
2527,391,2,qui,qui,PROCON,556,Qux,Qux,qui,C/V\,
2528,391,3,li,li,DET:def:suj:masc:sg,556,Det,Det,le,C/V\,
2529,391,4,filz,filz,NOM:suj:masc:sg,556,N,N,fils,C/V\,
2530,391,5,dieu,dieu,NOM:obj:masc:sg,556,N,N,dieu,C/V\,
2531,391,6,se,se,PROCON,556,Prn,Prn$$,se,C/(e)\,
