wd_id,line_id,linewd,word,lex_id,lemma,textlineid,syntag,syntag2,syllabified,ref
203,31,2,te,te,te,5549,Prn,Prn$$,C/(e)\,"GautArrEr, v. 5549"
204,31,3,quesist,quesist,quérir,5549,Vfin,Vfin,C/V\.'C/V\,"GautArrEr, v. 5549"
205,31,4,et,et,et,5549,Crd,Crd,/V\,"GautArrEr, v. 5549"
206,31,5,sus,sus,sus,5549,PrA,PrA,C/V\,"GautArrEr, v. 5549"
207,31,6,et,et,et,5549,Crd,Crd,/V\,"GautArrEr, v. 5549"
208,31,7,jus,jus,jus,5549,Adv,Adv,C/V\,"GautArrEr, v. 5549"
209,32,1,qu',qu',que,5550,Sub,Sub,C/\,"GautArrEr, v. 5550"
210,32,2,il,il,il,5550,Prn,Prn$,/V\,"GautArrEr, v. 5550"
211,32,3,te,te,te,5550,Prn,Prn$$,C/(e)\,"GautArrEr, v. 5550"
212,32,4,trovast,trovast,trouver,5550,Vfin,Vfin,C/V\.'C/V\,"GautArrEr, v. 5550"
213,32,5,;,;,;,5550,Pnc,Pnc,,"GautArrEr, v. 5550"
214,32,6,or,or,or,5550,Adv,Adv,/V\,"GautArrEr, v. 5550"
215,32,7,n',n',ne,5550,Neg,Neg$$,C/\,"GautArrEr, v. 5550"
216,32,8,i,i,y,5550,Prn,Prn$$,/V\,"GautArrEr, v. 5550"
217,32,9,a,a,avoir,5550,Vfin,Vfin,/V\,"GautArrEr, v. 5550"
218,32,10,plus,plus,plus,5550,Adv,Adv,C/V\,"GautArrEr, v. 5550"
219,32,11,",",",",",",5550,Pnc,Pnc,,"GautArrEr, v. 5550"
220,33,1,mais,mais,mais,5551,Crd,Crd,C/V\,"GautArrEr, v. 5551"
221,33,2,ce,ce,ce,5551,Prn,Prn,C/(e)\,"GautArrEr, v. 5551"
222,33,3,te,te,te,5551,Prn,Prn$$,C/(e)\,"GautArrEr, v. 5551"
223,33,4,mande,mande,mander,5551,Vfin,Vfin,'C/V\.C/(e)\,"GautArrEr, v. 5551"
224,33,5,l',l',le,5551,Det,Det,C/\,"GautArrEr, v. 5551"
225,33,6,emperere,emperere,empereur,5551,N,N,/V\.C/e\.'C/V\.C/(e)\,"GautArrEr, v. 5551"
226,33,7,:,:,:,5551,Pnc,Pnc,,"GautArrEr, v. 5551"
227,34,1,se,se,si,5552,Sub,Sub,C/(e)\,"GautArrEr, v. 5552"
228,34,2,tel,tel,tel,5552,Adj,Adj,C/V\,"GautArrEr, v. 5552"
229,34,3,cuer,cuer,coeur,5552,N,N,C/V\,"GautArrEr, v. 5552"
230,34,4,a,a,avoir,5552,Vfin,Vfin,/V\,"GautArrEr, v. 5552"
231,34,5,li,li,le,5552,Det,Det,C/V\,"GautArrEr, v. 5552"
232,34,6,fius,fius,fils,5552,N,N,C/V\,"GautArrEr, v. 5552"
233,34,7,ton,ton,ton,5552,Det,Det,C/V\,"GautArrEr, v. 5552"
234,34,8,pere,pere,père,5552,N,N,'C/V\.C/(e)\,"GautArrEr, v. 5552"
235,35,1,que,que,que,5553,Sub,Sub,C/(e)\,"GautArrEr, v. 5553"
236,35,2,cors,cors,corps,5553,N,N,C/V\,"GautArrEr, v. 5553"
237,35,3,a,a,à,5553,Pre,Pre,/V\,"GautArrEr, v. 5553"
238,35,4,cors,cors,corps,5553,N,N,C/V\,"GautArrEr, v. 5553"
239,35,5,se,se,se,5553,Prn,Prn$$,C/(e)\,"GautArrEr, v. 5553"
240,35,6,combatist,combatist,combattre,5553,Vfin,Vfin,C/V\.C/V\.'C/V\,"GautArrEr, v. 5553"
241,35,7,",",",",",",5553,Pnc,Pnc,,"GautArrEr, v. 5553"
242,36,1,eracles,eracles,Éracle,5554,N,N,/V\.'C/V\.C/e\,"GautArrEr, v. 5554"
243,36,2,bien,bien,bien,5554,Adv,Adv,C/V\,"GautArrEr, v. 5554"
244,36,3,s',s',se,5554,Prn,Prn$$,C/\,"GautArrEr, v. 5554"
245,36,4,en,en,en,5554,Prn,Prn$$,/V\,"GautArrEr, v. 5554"
246,36,5,aatist,aatist,aatir,5554,Vfin,Vfin,/(V)\./V\.'C/V\,"GautArrEr, v. 5554"
247,37,1,que,que,que,5555,Sub,Sub,C/(e)\,"GautArrEr, v. 5555"
248,37,2,sor,sor,sur,5555,PrA,PrA,C/V\,"GautArrEr, v. 5555"
249,37,3,le,le,le,5555,Det,Det,C/(e)\,"GautArrEr, v. 5555"
250,37,4,pont,pont,pont,5555,N,N,C/V\,"GautArrEr, v. 5555"
251,37,5,se,se,se,5555,Prn,Prn$$,C/(e)\,"GautArrEr, v. 5555"
252,37,6,combatra,combatra,combattre,5555,Vfin,Vfin,C/V\.C/V\.'C/V\,"GautArrEr, v. 5555"
253,37,7,",",",",",",5555,Pnc,Pnc,,"GautArrEr, v. 5555"
254,38,1,et,et,et,5556,Crd,Crd,/V\,"GautArrEr, v. 5556"
255,38,2,chil,chil,cil,5556,Dem,Dem,C/V\,"GautArrEr, v. 5556"
256,38,3,qui,qui,qui,5556,Qux,Qux,C/V\,"GautArrEr, v. 5556"
257,38,4,son,son,son,5556,Det,Det,C/V\,"GautArrEr, v. 5556"
258,38,5,per,per,pair,5556,N,N,C/V\,"GautArrEr, v. 5556"
259,38,6,abatra,abatra,abattre,5556,Vfin,Vfin,/V\.C/V\.'C/V\,"GautArrEr, v. 5556"
260,39,1,u,u,ou,5557,Crd,Crd,/V\,"GautArrEr, v. 5557"
261,39,2,qui,qui,qui,5557,Qux,Qux,C/V\,"GautArrEr, v. 5557"
262,39,3,vaintra,vaintra,vaincre,5557,Vfin,Vfin,C/V\.'C/V\,"GautArrEr, v. 5557"
263,39,4,",",",",",",5557,Pnc,Pnc,,"GautArrEr, v. 5557"
264,39,5,se,se,si,5557,Sub,Sub,C/(e)\,"GautArrEr, v. 5557"
265,39,6,n',n',ne,5557,Neg,Neg$$,C/\,"GautArrEr, v. 5557"
266,39,7,ait,ait,avoir,5557,Vfin,Vfin,/V\,"GautArrEr, v. 5557"
267,39,8,regart,regart,regard,5557,N,N,C/V\.'C/V\,"GautArrEr, v. 5557"
268,40,1,c',c',que,5558,Sub,Sub,C/\,"GautArrEr, v. 5558"
269,40,2,on,on,on,5558,Prn,Prn$,/V\,"GautArrEr, v. 5558"
270,40,3,l',l',le,5558,Prn,Prn$$,C/\,"GautArrEr, v. 5558"
271,40,4,assaille,assaille,assaillir,5558,Vfin,Vfin,/V\.'C/V\.C/(e)\,"GautArrEr, v. 5558"
272,40,5,de,de,de,5558,Pre,Pre,C/(e)\,"GautArrEr, v. 5558"
273,40,6,nule,nule,nul,5558,QIs,QIs,'C/V\.C/(e)\,"GautArrEr, v. 5558"
274,40,7,part,part,part,5558,N,N,C/V\,"GautArrEr, v. 5558"
275,40,8,",",",",",",5558,Pnc,Pnc,,"GautArrEr, v. 5558"
276,41,1,ains,ains,ains,5559,Crd,Crd,/V\,"GautArrEr, v. 5559"
277,41,2,soit,soit,être,5559,Vfin,Vfin,C/V\,"GautArrEr, v. 5559"
278,41,3,sire,sire,sire,5559,N,N,'C/V\.C/(e)\,"GautArrEr, v. 5559"
279,41,4,d',d',de,5559,Pre,Pre,C/\,"GautArrEr, v. 5559"
280,41,5,ansdeus,ansdeus,ambedeux,5559,QIs,QIs,/V\.'C/V\,"GautArrEr, v. 5559"
281,41,6,les,les,le,5559,Det,Det,C/V\,"GautArrEr, v. 5559"
282,41,7,os,os,os,5559,N,N,/V\,"GautArrEr, v. 5559"
283,41,8,",",",",",",5559,Pnc,Pnc,,"GautArrEr, v. 5559"
284,42,1,u,u,ou,5560,Crd,Crd,/V\,"GautArrEr, v. 5560"
285,42,2,il,il,il,5560,Prn,Prn,/V\,"GautArrEr, v. 5560"
286,42,3,des,des,de.le,5560,Pre+Det,Pre+Det,C/V\,"GautArrEr, v. 5560"
287,42,4,tiens,tiens,tien,5560,Adj,Adj,C/V\,"GautArrEr, v. 5560"
288,42,5,ou,ou,ou,5560,Crd,Crd,/V\,"GautArrEr, v. 5560"
289,42,6,tu,tu,tu,5560,Prn,Prn,C/V\,"GautArrEr, v. 5560"
