wd_id,word,lex_id,tag,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
2173,",",",",PON,632,Pnc,Pnc,,,PUNCT,",",9
2174,mais,mais,CON:coord,632,Crd,Crd,mais,C/V\,CCONJ,mais,10
2175,mout,mout,ADV,632,QIs,QIs,moult,C/V\,ADV,moult,10
2176,sont,sont,VER,632,Vfin,Vfin,être,C/V\,VERB,être,10
2177,durement,durement,ADV,632,Adv,Adv,,C/V\.C/e\.'C/V\,ADV,durement,9
2178,dolant,dolant,ADJ,632,Adj,Adj,dolent,C/V\.'C/V\,ADJ,dolent,10
2179,et,et,CON:coord,632,Crd,Crd,et,/V\,CCONJ,et,10
2180,courechié,courechié,VER,632,Vpp,Vpp,,C/V\.C/e\.'C/V\,VERB,courroucer,9
2181,de,de,PRE,633,Pre,Pre,de,C/(e)\,ADP,de,10
2182,ceste,ceste,DET:demo,633,Dem,Dem,cist,'C/V\.C/(e)\,DET,cist,10
2183,aventure,aventure,NOM,633,N,N,,/V\.C/V\.'C/V\.C/(e)\,NOUN,aventure,8
2184,.,.,PON,633,Pnc,Pnc,,,PUNCT,.,9
2185,Quant,quant,ADV,701,Sub,Sub,quand,C/V\,SCONJ,quand,10
2186,Lanselos,lanselos,NPR,701,N,N,,C/V\.C/e\.'C/V\,PROPN,Lancelot,5
2187,",",",",PON,701,Pnc,Pnc,,,PUNCT,",",9
2188,ki,ki,PROCON,701,Qux,Qux,qui,C/V\,PRON,qui,10
2189,encore,encore,ADV,701,Adv,Adv,encore,/V\.'C/V\.C/(e)\,ADV,encore,10
2190,estoit,estoit,VER,701,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10
2191,de,de,PRE,701,Pre,Pre,de,C/(e)\,ADP,de,10
2192,l',l',DET:def,701,Det,Det,le,C/\,DET,le,10
2193,autre,autre,ADJ,701,Adj,Adj,autre,'/V\.C/(e)\,ADJ,autre,10
2194,part,part,NOM,701,N,N,,C/V\,NOUN,part,3
2195,du,du,PREDET:de,702,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
2196,pont,pont,NOM,702,N,N,,C/V\,NOUN,pont,8
2197,et,et,CON:coord,702,Crd,Crd,et,/V\,CCONJ,et,10
2198,regardoit,regardoit,VER,702,Vfin,Vfin,regarder,C/V\.C/V\.'C/V\,VERB,regarder,10
2199,a,a,PRE,702,Pre,Pre,à,/V\,ADP,à,10
2200,coi,coi,PRO:invar,702,Qux,Qux,que,C/V\,PRON,que,10
2201,li,li,DET:def,702,Det,Det,le,C/V\,DET,le,10
