wd_id,word,lex_id,pos_nca,para_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1195,",",",",PON,28,Pnc,Pnc,,,PUNCT,",",9
1196,que,que,PROCON,28,Sub,Sub,que,C/(e)\,SCONJ,que,10
1197,ce,ce,PRO:invar,28,Prn,Prn,ce,C/(e)\,PRON,ce,10
1198,que,que,PROCON,28,Sub,Sub,que,C/(e)\,SCONJ,que,10
1199,le,le,DET:def:suj:masc:sg,28,Det,Det,le,C/(e)\,DET,le,10
1200,pechie,pechié,NOM:suj:masc:sg,28,N,N,,C/V\.'C/V\,NOUN,péché,9
1201,mortel,mortel,ADJ:suj:masc:sg,28,Adj,Adj,,C/V\.'C/V\,ADJ,mortel,8
1202,venist,venist,VER:subi:3:sg,28,Vfin,Vfin,venir,C/V\.'C/V\,VERB,venir,10
1203,a,a,PRE,28,Pre,Pre,à,/V\,ADP,à,10
1204,l,l',DET:def:obj:femi:sg,28,Det,Det,le,C/\,DET,le,10
1205,ame,ame,NOM:obj:femi:sg,28,N,N,,'/V\.C/(e)\,NOUN,âme,3
1206,de,de,PRE,28,Pre,Pre,de,C/(e)\,ADP,de,10
1207,vous,vous,PRO:pers:2:pl,28,Prn,Prn,vous,C/V\,PRON,vous,10
1208,.,.,PON,28,Pnc,Pnc,,,PUNCT,.,9
1209,"""","""",PON:cit,28,Pnc,Pnc,,,PUNCT,"""",9
1210,il,il,PRO:pers:suj:3:masc:sg:unb,29,Prn,Prn$,il,/V\,PRON,il,10
1211,me,me,PRO:pers:obj:1:sg:unb,29,Prn,Prn$$,me,C/(e)\,PRON,me,10
1212,demanda,demanda,VER:simp:3:sg,29,Vfin,Vfin,demander,C/V\.C/V\.'C/V\,VERB,demander,10
1213,se,se,PROCON,29,Sub,Sub,si3,C/(e)\,SCONJ,si,10
1214,je,je,PRO:pers:suj:1:sg:unb,29,Prn,Prn$,je,C/(e)\,PRON,je,10
1215,lavoie,lavoie,VER:impf:1:sg,29,Vfin,Vfin,,C/V\.'C/V\./(e)\,VERB,laver,9
1216,les,les,DET:def:obj:masc:pl,29,Det,Det,le,C/V\,DET,le,10
1217,piez,piez,NOM:obj:masc:pl,29,N,N,,C/V\,NOUN,pied,3
1218,aus,aus,PREDET:a:obj:masc:pl,29,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
1219,povres,povres,ADJ:obj:masc:pl,29,Adj,Adj,pauvre,'C/V\.C/e\,ADJ,pauvre,10
1220,le,le,DET:def:obj:masc:sg,29,Det,Det,le,C/(e)\,DET,le,10
1221,jour,jour,NOM:obj:masc:sg,29,N,N,,C/V\,NOUN,jour,8
1222,du,du,PREDET:de:obj:masc:sg,29,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
1223,grant,grant,ADJ:obj:masc:sg,29,Adj,Adj,grand,C/V\,ADJ,grand,10
1224,jeudi,jeudi,NOM:obj:masc:sg,29,N,N,,C/V\.'C/V\,NOUN,jeudi,9
1225,.,.,PON,29,Pnc,Pnc,,,PUNCT,.,9
1226,',',PON:cit,29,Pnc,Pnc,,,PUNCT,',9
1227,sire,sire,NOM:suj:masc:sg,29,N,N,,'C/V\.C/(e)\,NOUN,sire,11
1228,",",",",PON,29,Pnc,Pnc,,,PUNCT,",",9
1229,"""","""",PON:cit,29,Pnc,Pnc,,,PUNCT,"""",9
1230,diz,diz,VER:simp:1:sg,29,Vfin,Vfin,dire,C/V\,VERB,dire,10
1231,je,je,PRO:pers:suj:1:sg:unb,29,Prn,Prn%,je,C/(e)\,PRON,je,10
1232,",",",",PON,29,Pnc,Pnc,,,PUNCT,",",9
1233,en,en,PRO:clit,29,Pre,Pre,en,/V\,ADP,en,10
1234,mal,mal,ADJ:obj:masc:sg,29,Adj,Adj,mal2,C/V\,ADJ,mal,10
