wd_id,line_id,linewd,word,lex_id,textlineid,pos_nca,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
218,36,5,per,per,36,PRE,Pre,Pre,par,C/V\,ADP,par,10
219,36,6,quel,quel,36,ADJ:obj:femi:sg,Qux,Qux,quel,C/V\,DET,quel,10
220,36,7,guise,guise,36,NOM:obj:femi:sg,N,N,,'C/V\.C/(e)\,NOUN,guise,8
221,37,1,lon,lon,37,PRO:invar,Prn,Prn$,on,C/V\,PRON,on,10
222,37,2,puet,puet,37,VER:pres:3:sg,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10
223,37,3,citez,citez,37,NOM:obj:femi:pl,N,N,,C/V\.'C/V\,NOUN,cité,8
224,37,4,et,et,37,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10
225,37,5,chastiax,chastiax,37,NOM:obj:masc:pl,N,N,,C/V\.'C/V\,NOUN,château,9
226,37,6,prandre,prandre,37,VER:infi,Vinf,Vinf,prendre,'C/V\.C/(e)\,VERB,prendre,10
227,37,7,",",",",37,PON,Pnc,Pnc,,,PUNCT,",",9
228,38,1,comant,comant,38,ADV,Qux,Qux,comment,C/V\.'C/V\,ADV,comment,10
229,38,2,on,on,38,PRO:invar,Prn,Prn$,on,/V\,PRON,on,10
230,38,3,las,las,38,PRO:pers:acc:3:masc:pl,Prn,Prn$$,le,C/V\,PRON,le,10
231,38,4,repuet,repuet,38,VER:pres:3:sg,Vfin,Vfin,repouvoir,C/V\.'C/V\,VERB,repouvoir,10
232,38,5,deffandre,deffandre,38,VER:infi,Vinf,Vinf,défendre,C/V\.'C/V\.C/(e)\,VERB,défendre,10
233,38,6,;,;,38,PON,Pnc,Pnc,,,PUNCT,;,9
234,39,1,encor,encor,39,ADV,Adv,Adv,encore,/V\.'C/V\,ADV,encore,10
235,39,2,done,done,39,VER:pres:3:sg,Vfin,Vfin,donner,'C/V\.C/(e)\,VERB,donner,10
236,39,3,il,il,39,PRO:pers:suj:3:masc:sg:unb,Prn,Prn%,il,/V\,PRON,il,10
237,39,4,comandemanz,comandemanz,39,NOM:obj:masc:pl,N,N,,C/V\.C/V\.C/e\.'C/V\,NOUN,commandement,9
238,40,1,das,das,40,PREDET:de:obj:femi:pl,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
239,40,2,choses,choses,40,NOM:obj:femi:pl,N,N,,'C/V\.C/e\,NOUN,chose,8
240,40,3,et,et,40,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10
241,40,4,das,das,40,PREDET:de:obj:masc:pl,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
242,40,5,estrumanz,estrumanz,40,NOM:obj:masc:pl,N,N,,/V\.C/V\.'C/V\,NOUN,estrument,0
243,41,1,que,que,41,PROCON,Qux,Qux,que,C/(e)\,PRON,que,10
244,41,2,il,il,41,PRO:pers:suj:3:masc:sg:unb,Prn,Prn$,il,/V\,PRON,il,10
245,41,3,covient,covient,41,VER:pres:3:sg,Vfin,Vfin,convenir,C/V\.'C/V\,VERB,convenir,10
246,41,4,a,a,41,PRE,Pre,Pre,à,/V\,ADP,à,10
247,41,5,la,la,41,DET:def:obj:femi:sg,Det,Det,le,C/V\,DET,le,10
248,41,6,navie,navie,41,NOM:obj:femi:sg,N,N,,C/V\.'C/V\./(e)\,NOUN,navie,8
249,41,7,",",",",41,PON,Pnc,Pnc,,,PUNCT,",",9
250,42,1,quant,quant,42,ADV,Sub,Sub,quand,C/V\,SCONJ,quand,10
251,42,2,sont,sont,42,VER:pres:3:pl,Vfin,Vfin,être,C/V\,VERB,être,10
252,42,3,en,en,42,PRO:clit,Prn,Prn$$,en2,/V\,PRON,en,10
253,42,4,bataille,bataille,42,NOM:obj:femi:sg,N,N,,C/V\.'C/V\.C/(e)\,NOUN,bataille,8
254,42,5,aramie,aramie,42,NOM:obj:femi:sg,N,N,,/V\.C/V\.'C/V\./(e)\,PROPN|NOUN,aramie,8
255,42,6,.,.,42,PON,Pnc,Pnc,,,PUNCT,.,9
256,43,1,et,et,43,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10
257,43,2,vos,vos,43,PRO:pers:2:pl,Prn,Prn,vous,C/V\,PRON,vous,10
258,43,3,moult,moult,43,ADV,QIs,QIs,moult,C/V\,ADV,moult,10
259,43,4,bien,bien,43,ADV,Adv,Adv,bien,C/V\,ADV,bien,10
