wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,pos,lemma_ofl,lemma_score
255,41,3,m',m',641,Prn,Prn$$,me,7s,---,C/\,PRON,me,10
256,41,4,est,est,641,Vfin,Vfin,être,7s,---,/V\,VERB,être,10
257,41,5,anemie,anemie,641,N,N,,7s,---,/V\.C/e\.'C/V\./e\,NOUN,ennemi,9
258,41,6,",",",",641,Pnc,Pnc,,7s,---,,PUNCT,",",9
259,42,1,qu',qu',642,,Crd,que,7s,---,C/\,CCONJ,que,10
260,42,2,ainc,ainc,642,Adv,Adv,onques,7s,---,/V\,ADV,onques,10
261,42,3,en,en,642,Pre,Pre,en,7s,---,/V\,ADP,en,10
262,42,4,dame,dame,642,N,N,,7s,---,'C/V\.C/(e)\,NOUN,dame,8
263,42,5,tant,tant,642,QIs,QIs,tant,7s,---,C/V\,ADV,tant,10
264,42,6,n',n',642,Neg,Neg,ne,7s,---,C/\,ADV,ne,10
265,42,7,en,en,642,Prn,Prn$$,en2,7s,---,/V\,PRON,en,10
266,42,8,vi,vi,642,Vfin,Vfin,voir,7s,---,C/V\,VERB,voir,10
267,42,9,;,;,642,Pnc,Pnc,,7s,---,,PUNCT,;,9
268,43,1,c',c',643,Prn,Prn$,ce,7s,---,C/\,PRON,ce,10
269,43,2,est,est,643,Vfin,Vfin,être,7s,---,/V\,VERB,être,10
270,43,3,ce,ce,643,Prn,Prn,ce,7s,---,C/(e)\,PRON,ce,10
271,43,4,qui,qui,643,Qux,Qux,qui,7s,---,C/V\,PRON,qui,10
272,43,5,pluz,pluz,643,Adv,Adv,plus,7s,---,C/V\,ADV,plus,10
273,43,6,me,me,643,Prn,Prn$$,me,7s,---,C/(e)\,PRON,me,10
274,43,7,detrie,detrie,643,Vfin,Vfin,détrier,7s,---,C/V\.'C/V\./e\,VERB,détrier,10
275,44,1,a,a,644,Pre,Pre,à,7s,---,/V\,ADP,à,10
276,44,2,avoir,avoir,644,Vinf,Vinf,avoir,7s,---,/V\.'C/V\,VERB,avoir,10
277,44,3,l',l',644,Det,Det,le,7s,---,C/\,DET,le,10
278,44,4,amour,amour,644,N,N,,7s,---,/V\.'C/V\,NOUN,amour,8
279,44,5,de,de,644,Pre,Pre,de,7s,---,C/(e)\,ADP,de,10
280,44,6,li,li,644,Prn,Prn,li,7s,---,C/V\,PRON,li,10
281,44,7,.,.,644,Pnc,Pnc,,7s,---,,PUNCT,.,9
282,45,1,se,se,645,Sub,Sub,si3,7s,---,C/(e)\,SCONJ,si,10
283,45,2,fine,fine,645,Adj,Adj,fin2,7s,---,'C/V\.C/(e)\,ADJ,fin,10
284,45,3,amours,amours,645,N,N,,7s,---,/V\.'C/V\,NOUN,amour,8
285,45,4,ne,ne,645,Neg,Neg,ne,7s,---,C/(e)\,ADV,ne,10
286,45,5,l',l',645,Prn,Prn$$,le,7s,---,C/\,PRON,le,10
287,45,6,en,en,645,Prn,Prn$$,en2,7s,---,/V\,PRON,en,10
288,45,7,prie,prie,645,Vfin,Vfin,prier,7s,---,'C/V\./(e)\,VERB,prier,10
289,45,8,",",",",645,Pnc,Pnc,,7s,---,,PUNCT,",",9
290,46,1,qui,qui,646,Qux,Qux,qui,7s,---,C/V\,PRON,qui,10
291,46,2,de,de,646,Pre,Pre,de,7s,---,C/(e)\,ADP,de,10
292,46,3,moi,moi,646,Prn,Prn,moi,7s,---,C/V\,PRON,moi,10
293,46,4,a,a,646,Vfin,Vfin,avoir,7s,---,/V\,VERB,avoir,10
294,46,5,fait,fait,646,Vpp,Vpp,faire,7s,---,C/V\,VERB,faire,10
295,46,6,ami,ami,646,N,N,,7s,---,/V\.'C/V\,NOUN,ami,8
296,46,7,",",",",646,Pnc,Pnc,,7s,---,,PUNCT,",",9
297,47,1,en,en,647,Pre,Pre,en,7s,---,/V\,ADP,en,10
298,47,2,douz,douz,647,Adj,Adj,doux,7s,---,C/V\,ADJ,doux,10
