wd_id,word,lex_id,page_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1580,",",",",1029,Pnc,Pnc,,,PUNCT,",",9
1581,qui,qui,1029,Qux,Qux,qui,C/V\,PRON,qui,10
1582,ne,ne,1029,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
1583,penssoit,penssoit,1029,Vfin,Vfin,penser,C/V\.'C/V\,VERB,penser,10
1584,pas,pas,1029,Neg,Neg,pas,C/V\,ADV,pas,10
1585,ad,ad,1029,Pre,Pre,à,/V\,ADP,à,10
1586,ce,ce,1029,Prn,Prn,ce,C/(e)\,PRON,ce,10
1587,ou,ou,1029,Qux,Qux,où,/V\,PRON,où,10
1588,Madame,madame,1029,N,N,,C/V\.'C/V\.C/(e)\,NOUN,madame,9
1589,voulloit,voulloit,1029,Vfin,Vfin,vouloir,C/V\.'C/V\,VERB,vouloir,10
1590,venir,venir,1029,Vinf,Vinf,venir,C/V\.'C/V\,VERB,venir,10
1591,",",",",1029,Pnc,Pnc,,,PUNCT,",",9
1592,sy,sy,1029,Adv,Adv,si4,C/V\,ADV,si,10
1593,lui,lui,1029,Prn,Prn$$,lui,C/V\,PRON,lui,10
1594,promist,promist,1029,Vfin,Vfin,promettre,C/V\.'C/V\,VERB,promettre,10
1595,",",",",1029,Pnc,Pnc,,,PUNCT,",",9
1596,et,et,1029,Crd,Crd,et,/V\,CCONJ,et,10
1597,en,en,1029,Pre,Pre,en,/V\,ADP,en,10
1598,ce,ce,1029,Prn,Prn,ce,C/(e)\,PRON,ce,10
1599,faisant,faisant,1029,Vprs,Vprs,faire,C/V\.'C/V\,VERB,faire,10
1600,pensoit,pensoit,1029,Vfin,Vfin,penser,C/V\.'C/V\,VERB,penser,10
1601,:,:,1029,Pnc,Pnc,,,PUNCT,:,9
1602,«,«,1029,Pnc,Pnc,,,PUNCT,«,9
1603,Las,las,1029,Adj,Adj,las,C/V\,ADJ,las,10
1604,!,!,1029,Pnc,Pnc,,,PUNCT,!,9
1605,et,et,1029,Crd,Crd,et,/V\,CCONJ,et,10
1606,que,que,1029,Qux,Qux,que,C/(e)\,PRON,que,10
1607,ay,ay,1029,Vfin,Vfin,avoir,/V\,VERB,avoir,10
1608,je,je,1029,Prn,Prn%,je,C/(e)\,PRON,je,10
1609,fait,fait,1029,Vpp,Vpp,faire,C/V\,VERB,faire,10
1610,?,?,1029,Pnc,Pnc,,,PUNCT,?,9
1611,ne,ne,1029,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
1612,que,que,1029,Qux,Qux,que,C/(e)\,PRON,que,10
1613,sera,sera,1029,Vfin,Vfin,être,C/V\.'C/V\,VERB,être,10
1614,ce,ce,1029,Prn,Prn,ce,C/(e)\,PRON,ce,10
1615,cy,cy,1029,Adv,Adv,ci,C/V\,ADV,ci,10
1616,?,?,1029,Pnc,Pnc,,,PUNCT,?,9
1617,»,»,1029,Pnc,Pnc,,,PUNCT,»,9
1618,Et,et,1029,Crd,Crd,et,/V\,CCONJ,et,10
1619,en,en,1029,Pre,Pre,en,/V\,ADP,en,10
1620,ces,ces,1029,Dem,Dem,cist,C/V\,DET,cist,10
