wd_id,word,lex_id,para_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1855,et,et,10,Crd,Crd,et,/V\,CCONJ,et,10
1856,maintenir,maintenir,10,Vinf,Vinf,maintenir,C/V\.C/e\.'C/V\,VERB,maintenir,10
1857,",",",",10,Pnc,Pnc,,,PUNCT,",",9
1858,et,et,10,Crd,Crd,et,/V\,CCONJ,et,10
1859,avoient,avoient,10,Vfin,Vfin,avoir,/V\.'C/V\./e\,VERB,avoir,10
1860,les,les,10,Det,Det,le,C/V\,DET,le,10
1861,nourrices,nourrices,10,N,N,,C/V\.'C/V\.C/e\,NOUN,nourrice,9
1862,quanque,quanque,10,Qux,Qux,quanque,'C/V\.C/(e)\,PRON,quanque,10
1863,elles,elles,10,Prn,Prn$,elle,'/V\.C/e\,PRON,elle,10
1864,savoient,savoient,10,Vfin,Vfin,savoir,C/V\.'C/V\./e\,VERB,savoir,10
1865,demander,demander,10,Vinf,Vinf,demander,C/V\.C/V\.'C/V\,VERB,demander,10
1866,ne,ne,10,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
1867,deviser,deviser,10,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,deviser,3
1868,qui,qui,10,Qux,Qux,qui,C/V\,PRON,qui,10
1869,proufitable,proufitable,10,Adj,Adj,,C/V\.C/V\.'C/V\.C/(e)\,ADJ,profitable,9
1870,fust,fust,10,Vfin,Vfin,être,C/V\,VERB,être,10
1871,a,a,10,Pre,Pre,à,/V\,ADP,à,10
1872,l',l',10,Det,Det,le,C/\,DET,le,10
1873,enfant,enfant,10,N,N,,/V\.'C/V\,NOUN,enfant,3
1874,",",",",10,Pnc,Pnc,,,PUNCT,",",9
1875,et,et,10,Crd,Crd,et,/V\,CCONJ,et,10
1876,tant,tant,10,QIs,QIs,tant,C/V\,ADV,tant,10
1877,en,en,10,Prn,Prn$$,en2,/V\,PRON,en,10
1878,faisoit,faisoit,10,Vfin,Vfin,faire,C/V\.'C/V\,VERB,faire,10
1879,faire,faire,10,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10
1880,le,le,10,Det,Det,le,C/(e)\,DET,le,10
1881,pere,pere,10,N,N,,'C/V\.C/(e)\,NOUN,père,3
1882,que,que,10,Sub,Sub,que,C/(e)\,SCONJ,que,10
1883,chascun,chascun,10,QIs,QIs,chacun,C/V\.'C/V\,PRON,chacun,10
1884,qui,qui,10,Qux,Qux,qui,C/V\,PRON,qui,10
1885,le,le,10,Prn,Prn$$,le,C/(e)\,PRON,le,10
1886,veoit,veoit,10,Vfin,Vfin,voir,C/(V)\.'/V\,VERB,voir,10
1887,ou,ou,10,Crd,Crd,ou,/V\,CCONJ,ou,10
1888,savoit,savoit,10,Vfin,Vfin,savoir,C/V\.'C/V\,VERB,savoir,10
1889,l',l',10,Det,Det,le,C/\,DET,le,10
