wd_id,word,lex_id,pos_nca,chapter_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
251,tombel,tombel,NOM:obj:masc:sg,5,157,N,N,,C/V\.'C/V\,NOUN,tombel,3
252,",",",",PON,5,157,Pnc,Pnc,,,PUNCT,",",9
253,la,la,DET:def:suj:femi:sg,5,157,Det,Det,le,C/V\,DET,le,10
254,dite,dite,VER:pper:femi:sg,5,157,Vpp,Vpp,dire,'C/V\.C/(e)\,VERB,dire,10
255,amelot,amelot,NPR:suj:femi:sg,5,157,N,N,,/V\.C/e\.'C/V\,NOUN,Amelot,2
256,ala,ala,VER:simp:3:sg,5,157,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10
257,a,a,PRE,5,157,Pre,Pre,à,/V\,ADP,à,10
258,la,la,DET:def:obj:femi:sg,5,157,Det,Det,le,C/V\,DET,le,10
259,meson,meson,NOM:obj:femi:sg,5,157,N,N,,C/V\.'C/V\,NOUN,maison,9
260,thoumas,thoumas,NPR:obj:masc:sg,5,157,N,N,,C/V\.'C/V\,NOUN,Thomas,2
261,de,de,PRE,5,157,Pre,Pre,de,C/(e)\,ADP,de,10
262,hystoire,hystoire,NPR:obj:masc:sg,5,157,N,N,,/V\.'C/V\.C/(e)\,NOUN,histoire,9
263,qui,qui,PROCON,5,157,Qux,Qux,qui,C/V\,PRON,qui,10
264,estoit,estoit,VER:impf:3:sg,5,157,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10
265,ordené,ordené,VER:pper:masc:sg,5,157,Vpp,Vpp,,/V\.C/e\.'C/V\,VERB,ordonner,9
266,a,a,PRE,5,157,Pre,Pre,à,/V\,ADP,à,10
267,la,la,DET:def:obj:femi:sg,5,157,Det,Det,le,C/V\,DET,le,10
268,garde,garde,NOM:obj:femi:sg,5,157,N,N,,'C/V\.C/(e)\,NOUN,garde,8
269,de,de,PRE,5,157,Pre,Pre,de,C/(e)\,ADP,de,10
270,ceus,ceus,PRO:demo:obj:masc:pl,5,157,Dem,Dem,cil,C/V\,PRON,cil,10
271,qui,qui,PROCON,5,157,Qux,Qux,qui,C/V\,PRON,qui,10
272,venoient,venoient,VER:impf:3:pl,5,157,Vfin,Vfin,venir,C/V\.'C/V\./e\,VERB,venir,10
273,au,au,PREDET:a:obj:masc:sg,5,157,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
274,tombel,tombel,NOM:obj:masc:sg,5,157,N,N,,C/V\.'C/V\,NOUN,tombel,3
