wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1731,271,6,seneschaus,seneschaus,NOM:suj:masc:sg,280,N,N,,C/V\.C/V\.'C/V\,NOUN,sénéchal,9,,
1732,271,7,.,.,PON,280,Pnc,Pnc,,,PUNCT,.,9,,
1733,272,1,lai,lai,VER:impe:2:sg,281,Vfin,Vfin,laisser,C/V\,VERB,laisser,10,,
1734,272,2,les,les,DET:def:obj:masc:pl,281,Det,Det,le,C/V\,DET,le,10,,
1735,272,3,biens,biens,NOM:obj:masc:pl,281,N,N,bien,C/V\,NOUN,bien,10,,
1736,272,4,et,et,CON:coord,281,Crd,Crd,et,/V\,CCONJ,et,10,,
1737,272,5,si,si,PROCON,281,Adv,Adv,si4,C/V\,ADV,si,10,,
1738,272,6,fai,fai,VER:impe:2:sg,281,Vfin,Vfin,faire,C/V\,VERB,faire,10,,
1739,272,7,les,les,DET:def:obj:masc:pl,281,Det,Det,le,C/V\,DET,le,10,,
1740,272,8,maus,maus,NOM:obj:masc:pl,281,N,N,mal,C/V\,NOUN,mal,10,,
1741,272,9,;,;,PON,281,Pnc,Pnc,,,PUNCT,;,9,,
1742,273,1,ne,ne,PROCON,282,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
1743,273,2,jugier,jugier,VER:infi,282,Vinf,Vinf,,C/V\.'C/V\,VERB,juger,8,,
1744,273,3,ja,ja,ADV,282,Adv,Adv,jà,C/V\,ADV,jà,10,,
1745,273,4,bien,bien,ADV,282,Adv,Adv,bien,C/V\,ADV,bien,10,,
1746,273,5,en,en,PRE,282,Pre,Pre,en,/V\,ADP,en,10,,
1747,273,6,ta,ta,DET:poss:obj:femi:sg,282,Det,Det,ton2,C/V\,DET,ton,10,,
1748,273,7,vie,vie,NOM:obj:femi:sg,282,N,N,,'C/V\./(e)\,NOUN,vie,3,,
1749,274,1,que,que,PROCON,283,Crd,Crd,que,C/(e)\,CCONJ,que,10,,
1750,274,2,tu,tu,PRO:pers:suj:2:sg:unb,283,Prn,Prn$,tu,C/V\,PRON,tu,10,,
1751,274,3,feroies,feroies,VER:cond:2:sg,283,Vfin,Vfin,faire,C/V\.'C/V\./e\,VERB,faire,10,,
1752,274,4,grant,grant,ADJ:obj:femi:sg,283,Adj,Adj,grand,C/V\,ADJ,grand,10,,
1753,274,5,folie,folie,NOM:obj:femi:sg,283,N,N,,C/V\.'C/V\./(e)\,NOUN,folie,8,,
1754,275,1,et,et,CON:coord,284,Crd,Crd,et,/V\,CCONJ,et,10,,
1755,275,2,si,si,PROCON,284,Adv,Adv,si4,C/V\,ADV,si,10,,
