wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,para_id,syntag,syntag2,lemma,synfunc,syllabified
573,101,5,verge,verge,NOM,2170,verge1|verge2|vire3_+IT|+T|+T,12,N,N,,,'C/V\.C/(e)\
574,101,6,ou,ou,PREDET:en,2171,en1+le_S,12,Crd,Crd,ou1,,/V\
575,101,7,baston,baston,NOM,2172,baston_+IT,12,N,N,,,C/V\.'C/V\
576,102,1,ou,ou,PRO:invar,2181,o5_S,12,Qux,Qux,où,,/V\
577,102,2,qu',qu',PROCON,2182,que1|que2|que3|que4_S|S|S|S,12,Sub,Sub,que,,C/\
578,102,3,il,il,PRO:pers,2183,il_S,12,Prn,Prn$,3p,s,/V\
579,102,4,les,les,PRO:pers,2184,il_S,12,Prn,Prn$$,3p,c,C/V\
580,102,5,peüst,peust,VER,2185,pöoir_+I,12,Vfin,Vfin,pouvoir2,,C/(V)\.'/V\
581,102,6,assener,assener,VER,2186,assener_+IT,12,Vinf,Vinf,,c,/V\.C/e\.'C/V\
582,103,1,ou,ou,PRO:pers,2255,il|vos1_S|S,12,Crd,Crd,ou1,,/V\
583,103,2,a,a,VER,2256,avoir_+CMI,12,Pre,Pre,à,,/V\
584,103,3,la,la,DET:def,2257,le_S,12,Det,Det,le,,C/V\
585,103,4,mere,mere,NOM,2258,mere_+CIT,12,N,N,,,'C/V\.C/(e)\
586,103,5,",",",",PON,2259,",",12,Pnc,Pnc,,,
587,103,6,pour,pour,PRE,2260,por2_+S,12,Pre,Pre,pour,,C/V\
588,103,7,blasmer,blasmer,VER,2261,blasmer_+MIT,12,Vinf,Vinf,,,C/V\.'C/V\
589,104,1,par,par,PRE,2317,par_S,13,Pre,Pre,par1,,C/V\
590,104,2,le,le,DET:def,2318,le_S,13,Det,Det,le,,C/(e)\
591,104,3,mauvais,mauvais,ADJ,2319,mauvais_+IT,13,Adj,Adj,,,C/V\.'C/V\
592,104,4,chastiement,chastiement,NOM,2320,chastïement_+Td,13,N,N,,,C/V\.C/V\.C/e\.'C/V\
593,105,1,de,de,PRE,2342,de_+S,13,Pre,Pre,de,,C/(e)\
594,105,2,tant,tant,ADV,2343,tant_CI,13,QIs,QIs,tant,,C/V\
595,105,3,estoit,estoit,VER,2344,ester|estre1_+IM|+I,13,Vfin,Vfin,être1|ester,,/V\.'C/V\
596,105,4,il,il,PRO:pers,2345,il_S,13,Prn,Prn%,3p,s,/V\
597,105,5,plus,plus,ADV,2346,plus_CI,13,Adv,Adv,plus,,C/V\
598,105,6,tentez,tentez,VER,2347,tenter_*+MT,13,Vpp,Vpp,,,C/V\.'C/V\
599,106,1,ne,ne,PRO:clit,2381,en2_S,13,Crd,Crd,ne2,,C/(e)\
600,106,2,petit,petit,ADV,2382,petit_I,13,Adv,Adv,petit,,C/V\.'C/V\
601,106,3,a,a,PRE,2383,a_S,13,Pre,Pre,à,,/V\
602,106,4,l',l',DET:def,2384,le_S,13,Det,Det,le,,C/\
