wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,syntag2,lemma,textlineid,synfunc,syllabified
411,80,5,l',l',DET:def,1301,le_S,Det,Det,le,906,,C/\
412,80,6,un,un,DET:ndf,1302,un_S,QIs,QIs,un,906,,/V\
413,80,7,estant,estant,VER,1303,estendre|ester_+IM|+IMZ,Vprs,Vprs,être1|ester,906,,/V\.'C/V\
414,80,8,droit,droit,NOM,1304,droit_CIT,N,N,droit1,906,,C/V\
415,81,1,en,en,PRE,1318,en1_+S,Pre,Pre,en1,908,,/V\
416,81,2,vestement,vestement,NOM,1319,vestement_+IT,N,N,,908,,C/V\.C/e\.'C/V\
417,81,3,long,long,ADJ,1320,lonc_+Z,Adj,Adj,long,908,,C/V\
418,81,4,sur,sur,PRE,1321,sor2_+S,PrA,PrA,sur,908,,C/V\
419,81,5,ung,ung,DET:ndf,1322,un_S,QIs,QIs,un,908,,/V\
420,81,6,siege,siege,NOM,1323,siege_+IT,N,N,,908,,'C/V\.C/(e)\
421,82,1,escoutant,escoutant,VER,1327,escouter_+M,Vprs,Vprs,écouter,908,,/V\.C/V\.'C/V\
422,82,2,et,et,CON:coord,1328,et_S,Crd,Crd,et,908,,/V\
423,82,3,taisant,taisant,VER,1329,taire|taisir_+T|M,Vprs,Vprs,taire,908,,C/V\.'C/V\
424,82,4,",",",",PON,1330,",",Pnc,Pnc,,908,,
425,82,5,le,le,DET:def,1331,le_S,Det,Det,le,909,,C/(e)\
426,82,6,tiers,tiers,ADJ:ord,1332,tierz_C,Adj,Adj,,909,,C/V\
427,83,1,le,le,DET:def,1331,le_S,Det,Det,le,909,,C/(e)\
428,83,2,tiers,tiers,ADJ:ord,1332,tierz_C,Adj,Adj,,909,,C/V\
429,83,3,",",",",PON,1333,",",Pnc,Pnc,,909,,
430,83,4,en,en,PRE,1334,en1_+S,Pre,Pre,en1,909,,/V\
431,83,5,vil,vil,ADJ,1335,vil1|vil_+IT|I,Adj,Adj,,909,,C/V\
432,83,6,habit,habit,NOM,1336,abit_+T,N,N,,909,,C/V\.'C/V\
433,83,7,",",",",PON,1337,",",Pnc,Pnc,,909,,
434,83,8,reverse,reverse,VER,1338,reverser_*+T,Adj,Adj,,909,,C/V\.'C/V\.C/(e)\
435,84,1,indignee,indignee,NOM,1357,<unknown>,Vpp,Vpp,,911,,/V\.C/V\.'C/V\./(e)\
436,84,2,en,en,PRE,1358,en1_+S,Pre,Pre,en1,911,,/V\
437,84,3,son,son,DET:poss,1359,son4_S,Det,Det,son4,911,,C/V\
438,84,4,hault,hault,ADJ,1360,haut_+Z,Adj,Adj,haut,911,,C/V\
439,84,5,couraige,couraige,NOM,1361,corage_*+I,N,N,,911,,C/V\.'C/V\.C/(e)\
440,85,1,de,de,PRE,1369,de_+S,Pre,Pre,de,912,,C/(e)\
441,85,2,leur,leur,DET:poss,1370,lor2_S,Det,Det,leur2,912,,C/V\
