wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,para_id,syntag,syntag2,lemma,lemma_auto,NCA_src,boundary,synfunc,NCA_taggerpos,NCA_sent,syllabified
260,41,2,ama,ama,VER:simp:3:sg,1304,30,Vfin,Vfin,aimer,aamer|amer1,+M|+I,"[('VfinGrp', ''), ('Vfin', ''), ('Adv', '')]",,VER,81,/V\.'C/V\
261,41,3,tant,tant,ADV,1305,30,QIs,QIs,tant,tant,CI,"[('VfinGrp', ''), ('Adv', ''), ('NGrp', 'c')]",,ADV,81,C/V\
262,41,4,toutes,toutes,DET:ind:obj:femi:pl,1306,30,QIs,QIs,tout,tot,CS,"[('NGrp', 'c'), ('Det', ''), ('N', '')]",,DET:ind,81,'C/V\.C/e\
263,41,5,manieres,manieres,NOM:obj:femi:pl,1307,30,N,N,,maniere,*+CIT,"[('NGrp', 'c'), ('N', ''), ('PreN', '')]",,NOM,81,C/V\.'C/V\.C/e\
264,42,1,qui,qui,PROCON,1310,30,Qux,Qux,qui,qui,CST,"[('SubVfin', ''), ('Sub', 's'), ('N', 's')]",s,PROCON,81,C/V\
265,42,2,dieu,dieu,NOM:obj:masc:sg,1311,30,N,N,,dieu,+CIT,"[('SubVfin', ''), ('N', 's'), ('Vfin', '')]",s,NOM,81,C/V\
266,42,3,creoient,creoient,VER:impf:3:pl,1312,30,Vfin,Vfin,croire,croire,+M,"[('SubVfin', ''), ('Vfin', ''), ('VfinGrp', '&')]",,VER,81,C/(V)\.'/V\./e\
267,42,4,et,et,CON:coord,1313,30,Crd,Crd,et,et,ST,"[('VfinGrp', '&'), ('Crd', ''), ('Vfin', '')]",,CON:coord,81,/V\
268,42,5,amoient,amoient,VER:impf:3:pl,1314,30,Vfin,Vfin,aimer,amer1|amer,+I|IM,"[('VfinGrp', ''), ('NGrp', 'c'), ('SubVfin', '')]",,VER,81,/V\.'C/V\./e\
269,43,1,que,que,PROCON,1316,30,Sub,Sub,que,que2|que3|que,T|S|C,"[('SubVfin', ''), ('Sub', ''), ('Prn', 's')]",,PROCON,81,C/(e)\
270,43,2,il,il,PRO:pers:suj:3:masc:sg:unb,1317,30,Prn,Prn$,3p,il,CIST,"[('SubVfin', ''), ('Prn', 's'), ('Vfin', '')]",s,PRO:pers,81,/V\
