wd_id,line_id,linewd,word,lex_id,old_wd_id,chapter_id,syntag,syntag2,lemma,syllabified
82,20,3,ordené,ordené,265,5,Vpp,Vpp,,/V\.C/e\.'C/V\
83,21,1,que,que,311,5,Sub,Sub,que,C/(e)\
84,21,2,ele,ele,312,5,Prn,Prn$,elle,'/V\.C/(e)\
85,21,3,peust,peust,313,5,Vfin,Vfin,pouvoir2,C/(V)\.'/V\
86,21,4,estre,estre,314,5,Vinf,Vinf,être,'/V\.C/(e)\
87,22,1,du,du,336,5,Pre+Det,Pre+Det,de.le,C/V\
88,22,2,glorieus,glorieus,337,5,Adj,Adj,,C/V\.C/{V}\.'/V\
89,22,3,saint,saint,338,5,Adj,Adj,saint,C/V\
90,22,4,loys,loys,339,5,N,N,,C/V\
91,23,1,que,que,368,5,Qux,Qux,que,C/(e)\
92,23,2,la,la,369,5,Det,Det,le,C/V\
93,23,3,dite,dite,370,5,Vpp,Vpp,dire,'C/V\.C/(e)\
94,23,4,amelot,amelot,371,5,N,N,,/V\.C/e\.'C/V\
95,24,1,ele,ele,531,5,Prn,Prn$,elle,'/V\.C/(e)\
96,24,2,estoit,estoit,532,5,Vfin,Vfin,être,/V\.'C/V\
97,24,3,herbegiee,herbegiee,533,5,Vpp,Vpp,,C/V\.C/V\.'C/V\./(e)\
98,25,1,et,et,539,5,Crd,Crd,et,/V\
99,25,2,droite,droite,540,5,Adj,Adj,droit2,'C/V\.C/(e)\
100,25,3,sanz,sanz,541,5,Pre,Pre,sans,C/V\
101,25,4,baston,baston,542,5,N,N,,C/V\.'C/V\
102,26,1,sanz,sanz,541,5,Pre,Pre,sans,C/V\
103,26,2,baston,baston,542,5,N,N,,C/V\.'C/V\
104,26,3,et,et,543,5,Crd,Crd,et,/V\
105,26,4,sanz,sanz,544,5,Pre,Pre,sans,C/V\
106,26,5,ayde,ayde,545,5,N,N,,'/V\.C/(e)\
107,27,1,et,et,558,5,Crd,Crd,et,/V\
108,27,2,droite,droite,559,5,Adj,Adj,droit2,'C/V\.C/(e)\
109,27,3,un,un,560,5,QIs,QIs,un,/V\
110,27,4,an,an,561,5,N,N,,/V\
111,27,5,et,et,562,5,Crd,Crd,et,/V\
112,27,6,plus,plus,563,5,Adv,Adv,plus,C/V\
113,28,1,et,et,565,5,Crd,Crd,et,/V\
114,28,2,aloit,aloit,566,5,Vfin,Vfin,aller,/V\.'C/V\
115,28,3,par,par,567,5,Pre,Pre,par,C/V\
116,28,4,la,la,568,5,Det,Det,le,C/V\
117,28,5,vile,vile,569,5,N,N,,'C/V\.C/(e)\
118,29,1,plein,plein,579,5,Adj,Adj,plein,C/V\
119,29,2,d,d',580,5,Pre,Pre,de,C/\
120,29,3,iaue,iaue,581,5,N,N,,'/V\./(e)\
121,29,4,sus,sus,582,5,PrA,PrA,sus,C/V\
122,29,5,son,son,583,5,Det,Det,son4,C/V\
123,29,6,chief,chief,584,5,N,N,,C/V\
124,30,1,sus,sus,582,5,PrA,PrA,sus,C/V\
125,30,2,son,son,583,5,Det,Det,son4,C/V\
126,30,3,chief,chief,584,5,N,N,,C/V\
127,30,4,et,et,585,5,Crd,Crd,et,/V\
128,30,5,les,les,586,5,Det,Det,le,C/V\
129,30,6,dras,dras,587,5,N,N,,C/V\
130,31,1,et,et,585,5,Crd,Crd,et,/V\
131,31,2,les,les,586,5,Det,Det,le,C/V\
132,31,3,dras,dras,587,5,N,N,,C/V\
133,31,4,a,a,588,5,Pre,Pre,à,/V\
134,31,5,laver,laver,589,5,Vinf,Vinf,,C/V\.'C/V\
135,32,1,et,et,591,5,Crd,Crd,et,/V\
136,32,2,fesoit,fesoit,592,5,Vfin,Vfin,faire,C/V\.'C/V\
137,32,3,autres,autres,593,5,Adj,Adj,autre,'/V\.C/e\
138,32,4,choses,choses,594,5,N,N,,'C/V\.C/e\
139,33,1,ausi,ausi,595,5,Adv,Adv,aussi,/V\.'C/V\
140,33,2,comme,comme,596,5,Sub,Sub,comme,'C/V\.C/(e)\
141,33,3,autres,autres,597,5,Adj,Adj,autre,'/V\.C/e\
142,33,4,femmes,femmes,598,5,N,N,,'C/V\.C/e\
143,34,1,et,et,610,5,Crd,Crd,et,/V\
