wd_id,line_id,linewd,word,lex_id,old_wd_id,textlineid,syntag,syntag2,lemma,syllabified
395,88,4,pont,pont,2497,803,N,N,,C/V\
396,89,1,ki,ki,2504,804,Qux,Qux,qui,C/V\
397,89,2,le,le,2505,804,Det,Det,le,C/(e)\
398,89,3,glaive,glaive,2506,804,N,N,,'C/V\.C/(e)\
399,89,4,portoit,portoit,2507,804,Vfin,Vfin,porter,C/V\.'C/V\
400,90,1,par,par,2544,807,Pre,Pre,par,C/V\
401,90,2,mi,mi,2545,807,N,N,,C/V\
402,90,3,l',l',2546,807,Det,Det,le,C/\
403,90,4,aigue,aigue,2547,807,N,N,,'/V\.C/(e)\
404,90,5,.,.,2548,807,Pnc,Pnc,,
405,90,6,—,—,2549,807,Pnc,Pnc,,
406,90,7,En,en,2550,807,Pre,Pre,en,/V\
407,90,8,non,non,2551,807,N,N,,C/V\
408,90,9,Dieu,dieu,2552,807,N,N,,C/V\
409,91,1,ce,ce,2558,808,Prn,Prn,ce,C/(e)\
410,91,2,ne,ne,2559,808,Neg,Neg$$,ne,C/(e)\
411,91,3,ferai,ferai,2560,808,Vfin,Vfin,faire,C/V\.'C/V\
412,91,4,je,je,2561,808,Prn,Prn%,je,C/(e)\
413,91,5,mie,mie,2562,808,Neg,Neg,mie3,'C/V\./(e)\
414,92,1,dont,dont,2595,810,Adv,Adv,donc,C/V\
415,92,2,lairas,lairas,2596,810,Vfin,Vfin,laisser,C/V\.'C/V\
416,92,3,tu,tu,2597,810,Prn,Prn%,tu,C/V\
417,92,4,l',l',2598,811,Det,Det,le,C/\
418,92,5,escu,escu,2599,811,N,N,,/V\.'C/V\
419,93,1,Puis,puis,2603,811,PrA,PrA,puis,C/V\
420,93,2,que,que,2604,811,Sub,Sub,que,C/(e)\
421,93,3,li,li,2605,811,Det,Det,le,C/V\
422,93,4,cevaliers,cevaliers,2606,811,N,N,,C/V\.C/V\.'C/V\
423,94,1,l',l',2609,811,Det,Det,le,C/\
424,94,2,aigue,aigue,2610,811,N,N,,'/V\.C/(e)\
425,94,3,sans,sans,2611,812,Pre,Pre,sans,C/V\
426,94,4,son,son,2612,812,Det,Det,son4,C/V\
427,94,5,escu,escu,2613,812,N,N,,/V\.'C/V\
428,95,1,ne,ne,2618,812,Neg,Neg$$,ne,C/(e)\
429,95,2,puet,puet,2619,812,Vfin,Vfin,pouvoir2,C/V\
430,95,3,il,il,2620,812,Prn,Prn%,il,/V\
431,95,4,recouvrer,recouvrer,2621,812,Vinf,Vinf,recouvrer,C/V\.C/V\.'C/V\
432,96,1,ce,ce,2715,819,Prn,Prn,ce,C/(e)\
433,96,2,dit,dit,2716,819,Vfin,Vfin,dire,C/V\
434,96,3,li,li,2717,820,Det,Det,le,C/V\
435,96,4,cevaliers,cevaliers,2718,820,N,N,,C/V\.C/V\.'C/V\
436,97,1,il,il,2792,902,Prn,Prn$,il,/V\
437,97,2,crie,crie,2793,902,Vfin,Vfin,crier,'C/V\./(e)\
438,97,3,a,a,2794,902,Pre,Pre,à,/V\
439,97,4,son,son,2795,902,Det,Det,son4,C/V\
440,97,5,signeur,signeur,2796,902,N,N,,C/V\.'C/V\
441,98,1,ne,ne,2809,903,Neg,Neg$$,ne,C/(e)\
442,98,2,me,me,2810,904,Prn,Prn$$,me,C/(e)\
443,98,3,laisse,laisse,2811,904,Vfin,Vfin,laisser,'C/V\.C/(e)\
444,98,4,cest,cest,2812,904,Dem,Dem,cist,C/V\
445,98,5,pont,pont,2813,904,N,N,,C/V\
446,99,1,Ha,ha,2824,905,Exc,Exc,,/V\
447,99,2,!,!,2825,905,Pnc,Pnc,,
448,99,3,sire,sire,2826,905,N,N,,'C/V\.C/(e)\
449,99,4,cevaliers,cevaliers,2827,905,N,N,,C/V\.C/V\.'C/V\
450,100,1,laissiés,laissiés,2844,906,Vfin,Vfin,laisser,C/V\.'C/V\
451,100,2,passer,passer,2845,907,Vinf,Vinf,passer,C/V\.'C/V\
452,100,3,le,le,2846,907,Det,Det,le,C/(e)\
453,100,4,pont,pont,2847,907,N,N,,C/V\
454,101,1,ne,ne,2875,909,Crd,Crd,ne2,C/(e)\
455,101,2,si,si,2876,909,Adv,Adv,si4,C/V\
456,101,3,grant,grant,2877,909,Adj,Adj,grand,C/V\
457,101,4,vilonnie,vilonnie,2878,909,N,N,,C/V\.C/V\.'C/V\./(e)\
458,102,1,puis,puis,2999,918,PrA,PrA,puis,C/V\
459,102,2,reprent,reprent,3000,919,Vfin,Vfin,reprendre,C/V\.'C/V\
460,102,3,son,son,3001,919,Det,Det,son4,C/V\
461,102,4,escu,escu,3002,919,N,N,,/V\.'C/V\
