wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,para_id,ch_id,syntag,syntag2,lemma,verse_id,synfunc,syllabified
62,11,3,out,out,VER,275,avoir|oloir_+MIIdMd|+M,2,1,Vfin,Vfin,avoir1,2,,/V\
63,11,4,á,a,PRE,276,a_S,2,1,Pre,Pre,à,2,,/V\
64,11,5,sun,sun,DET:poss,277,son4_S,2,1,Det,Det,son4,2,,C/V\
65,11,6,oes,oes,NOM,278,ues_+IT,2,1,N,N,,2,,/V\
66,11,7,saisie,saisie,VER,279,saisir_+IM,2,1,Vpp,Vpp,saisir,2,,C/V\.'C/V\./(e)\
67,12,1,saisie,saisie,VER,279,saisir_+IM,2,1,Vpp,Vpp,saisir,2,,C/V\.'C/V\./(e)\
68,12,2,é,e,CON:coord,280,et_S,2,1,Crd,Crd,et,2,,/V\
69,12,3,sacréé,sacree,VER,281,sacrer_+M,2,1,Vpp,Vpp,,2,,C/V\.'C/V\./(e)\
70,12,4,.,.,PON,282,.,2,1,Pnc,Pnc,,2,,
71,12,5,La,la,PRO:pers,283,il_S,2,1,Adv,Adv,là,2,a,C/V\
72,12,6,fud,fud,VER,284,estre_M,2,1,Vfin,Vfin,être1|ester,2,,C/V\
73,13,1,Josue,josue,NPR,297,josué_Z,2,1,N,N,,2,,C/V\.'C/V\./(e)\
74,13,2,",",",",PON,298,",",2,1,Pnc,Pnc,,2,,
75,13,3,ki,ki,PROCON,299,qui_S,2,1,Qux,Qux,qui,2,s,C/V\
76,13,4,le,le,DET:def,300,le_S,2,1,Det,Det,le,2,,C/(e)\
77,13,5,pople,pople,NOM,301,pueple_+T,2,1,N,N,,2,,'C/V\.C/(e)\
78,13,6,Deu,deu,NOM,302,dieu_+IT,2,1,N,N,,2,o,C/V\
79,14,1,en,en,PRE,303,en1_+S,2,1,Pre,Pre,en1,2,,/V\
80,14,2,terre,terre,NOM,304,terre_+CIT,2,1,N,N,,2,,'C/V\.C/(e)\
81,14,3,de,de,PRE,305,de_+S,2,1,Pre,Pre,de,2,,C/(e)\
82,14,4,promissiun,promissiun,NOM,306,promissïon_*+Td,2,1,N,N,,2,,C/V\.C/V\.C/{V}\.'/V\
83,15,1,cunduist,cunduist,VER,307,conduire_+MI,2,1,Vfin,Vfin,conduire,2,,C/V\.'C/V\
84,15,2,é,e,CON:coord,308,et_S,2,1,Crd,Crd,et,2,,/V\
85,15,3,guiad,guiad,VER,309,guier_M,2,1,Vfin,Vfin,,2,,C/V\.'C/V\
86,15,4,.,.,PON,310,.,2,1,Pnc,Pnc,,2,,
87,15,5,La,la,PRO:pers,311,il_S,2,1,Adv,Adv,là,2,a,C/V\
88,15,6,fud,fud,VER,312,estre_M,2,1,Vfin,Vfin,être1|ester,2,,C/V\
89,15,7,l',l',DET:def,313,le_S,2,1,Det,Det,le,2,,C/\
90,15,8,arche,arche,NOM,314,arche1|arche2_+T|+IT,2,1,N,N,,2,,'/V\.C/(e)\
91,16,1,la,la,PRO:pers,316,il_S,2,1,Adv,Adv,là,2,a,C/V\
92,16,2,fud,fud,VER,317,estre_M,2,1,Vfin,Vfin,être1|ester,2,,C/V\
93,16,3,li,li,DET:def,318,le_S,2,1,Det,Det,le,2,,C/V\
94,16,4,propiciatories,propiciatories,NOM,319,<nolem>,2,1,N,N,,2,,C/V\.C/V\.C/V\.C/V\.'C/V\./e\
95,17,1,en,en,PRO:clit,325,en2_S,2,1,Pre,Pre,en1,2,,/V\
96,17,2,qui,qui,PROCON,326,qui_S,2,1,Qux,Qux,qui,2,,C/V\
97,17,3,fud,fud,VER,327,estre_M,2,1,Vfin,Vfin,être1|ester,2,,C/V\
98,17,4,repost,repost,VER,328,pondre|repondre|reposer_+M|+IT|+I,2,1,Vpp,Vpp,?,2,,C/V\.'C/V\
99,17,5,é,e,CON:coord,329,et_S,2,1,Crd,Crd,et,2,,/V\
100,17,6,guardez,guardez,VER,330,garder|guarder_+MI|M,2,1,Vpp,Vpp,garder,2,,C/V\.'C/V\
101,18,1,li,li,DET:def,331,le_S,2,1,Det,Det,le,2,,C/V\
102,18,2,tresors,tresors,NOM,332,tresor_+I,2,1,N,N,,2,,C/V\.'C/V\
103,18,3,precius,precius,ADJ,333,precïos_+Z,2,1,Adj,Adj,,2,,C/V\.C/V\.'C/V\
104,18,4,des,des,PREDET:de,334,de+le_S,2,1,Pre+Det,Pre+Det,de+le,2,,C/V\
105,18,5,tables,tables,NOM,335,table_+I,2,1,N,N,,2,,'C/V\.C/e\
106,19,1,de,de,PRE,345,de_+S,2,1,Pre,Pre,de,2,,C/(e)\
107,19,2,la,la,DET:def,346,le_S,2,1,Det,Det,le,2,,C/V\
108,19,3,manne,manne,NOM,347,manne_+T,2,1,N,N,,2,,'C/V\.C/(e)\
109,19,4,ki,ki,PROCON,348,qui_S,2,1,Qux,Qux,qui,2,s,C/V\
110,19,5,del,del,PREDET:de,349,de+le_S,2,1,Pre+Det,Pre+Det,de+le,2,,C/V\
111,19,6,ciel,ciel,NOM,350,ciel_+IT,2,1,N,N,,2,,C/V\
112,19,7,vint,vint,VER,351,venir|voir_+CI|M,2,1,Vfin,Vfin,venir,2,,C/V\
113,20,1,ácustumiers,acustumiers,ADJ,393,acostumier_*G,2,1,Adj,Adj,,3,,/V\.C/V\.C/V\.'C/V\
114,20,2,á,a,PRE,394,a_S,2,1,Pre,Pre,à,3,,/V\
115,20,3,visiter,visiter,VER,395,visiter_+IMT,2,1,Vinf,Vinf,,3,,C/V\.C/V\.'C/V\
116,21,1,depreier,depreier,VER,398,<nolem>,2,1,Vinf,Vinf,déprier,3,,C/V\.C/V\.'C/V\
117,21,2,",",",",PON,399,",",2,1,Pnc,Pnc,,3,,
118,21,3,oblatiuns,oblatiuns,NOM,400,oblacïon_*+Td,2,1,N,N,,3,c,/V\.C/V\.C/{V}\.'/V\
119,21,4,faire,faire,VER,401,faire_+MIT,2,1,Vinf,Vinf,faire,3,,'C/V\.C/(e)\
120,22,1,faire,faire,VER,401,faire_+MIT,2,1,Vinf,Vinf,faire,3,,'C/V\.C/(e)\
121,22,2,é,e,CON:coord,402,et_S,2,1,Crd,Crd,et,3,,/V\
122,22,3,sacrifier,sacrifier,VER,403,sacrifier_M,2,1,Vinf,Vinf,,3,,C/V\.C/V\.C/V\.'C/V\
123,22,4,as,as,PREDET:a,404,a+le_S,2,1,Pre+Det,Pre+Det,à+le,3,,/V\
124,22,5,jurs,jurs,NOM,405,jor_*+I,2,1,N,N,,3,,C/V\
125,23,1,as,as,PREDET:a,404,a+le_S,2,1,Pre+Det,Pre+Det,à+le,3,,/V\
126,23,2,jurs,jurs,NOM,405,jor_*+I,2,1,N,N,,3,,C/V\
127,23,3,asis,asis,VER,406,asseoir|assëoir|sedeir|seoir_+CI|I|M|M,2,1,Vpp,Vpp,asseoir,3,,/V\.'C/V\
128,23,4,é,e,CON:coord,407,et_S,2,1,Crd,Crd,et,3,,/V\
129,23,5,par,par,PRE,408,par_S,2,1,Pre,Pre,par1,3,,C/V\
130,23,6,la,la,DET:def,409,le_S,2,1,Det,Det,le,3,,C/V\
131,23,7,lei,lei,NOM,410,loi_I,2,1,N,N,,3,,C/V\
132,24,1,en,en,PRE,437,en1_+S,2,1,Pre,Pre,en1,3,,/V\
133,24,2,moniment,moniment,NOM,438,<nolem>,2,1,N,N,,3,,C/V\.C/V\.'C/V\
134,24,3,é,e,CON:coord,439,et_S,2,1,Crd,Crd,et,3,,/V\
135,24,4,remembrance,remembrance,NOM,440,remembrance_+IT,2,1,N,N,,3,,C/V\.C/V\.'C/V\.C/(e)\
136,25,1,que,que,PROCON,441,que3_S,2,1,Sub,Sub,que,3,,C/(e)\
137,25,2,il,il,PRO:pers,442,il_S,2,1,Prn,Prn$,3p,3,s,/V\
138,25,3,mestrent,mestrent,VER,443,metre|mettre_M|M,2,1,Vfin,Vfin,mettre,3,,'C/V\.C/e\
139,25,4,lunges,lunges,ADV,444,lonc_Z,2,1,Adv,Adv,longues,3,,'C/V\.C/e\
140,25,5,á,a,PRE,445,a_S,2,1,Pre,Pre,à,3,,/V\
141,25,6,mesáise,mesaise,NOM,446,mesaise_+IT,2,1,N,N,,3,,C/V\.'C/V\.C/(e)\
142,26,1,é,e,CON:coord,449,et_S,2,1,Crd,Crd,et,3,,/V\
143,26,2,en,en,PRE,450,en1_+S,2,1,Pre,Pre,en1,3,,/V\
144,26,3,fuilléés,fuillees,NOM,451,<nolem>,2,1,N,N,,3,,C/V\.'C/V\./e\
