wd_id,line_id,linewd,word,lex_id,old_wd_id,textlineid,syntag,syntag2,lemma,syllabified
813,182,3,roys,roys,2966,917,N,N,,C/V\
814,182,4,de,de,2967,917,Pre,Pre,de,C/(e)\
815,182,5,Franche,franche,2968,917,N,N,,'C/V\.C/(e)\
816,183,1,et,et,2973,917,Crd,Crd,et,/V\
817,183,2,barons,barons,2974,917,N,N,,C/V\.'C/V\
818,183,3,dou,dou,2975,918,Pre+Det,Pre+Det,de.le,C/V\
819,183,4,royaumme,royaumme,2976,918,N,N,,C/V\.'C/V\.C/(e)\
820,184,1,dou,dou,2975,918,Pre+Det,Pre+Det,de.le,C/V\
821,184,2,royaumme,royaumme,2976,918,N,N,,C/V\.'C/V\.C/(e)\
822,184,3,de,de,2977,918,Pre,Pre,de,C/(e)\
823,184,4,France,france,2978,918,N,N,,'C/V\.C/(e)\
824,185,1,de,de,2977,918,Pre,Pre,de,C/(e)\
825,185,2,France,france,2978,918,N,N,,'C/V\.C/(e)\
826,185,3,pour,pour,2979,918,Pre,Pre,pour,C/V\
827,185,4,avoir,avoir,2980,918,Vinf,Vinf,avoir,/V\.'C/V\
828,186,1,conseil,conseil,2981,918,N,N,,C/V\.'C/V\
829,186,2,et,et,2982,918,Crd,Crd,et,/V\
830,186,3,bon,bon,2983,918,Adj,Adj,bon,C/V\
